taxonomia_id,sistema,componente,descripcion_estandar,activo,created_at,id_modo_falla,subsistema,aplica_combustion,aplica_hibrido,aplica_electrico
fab14b60-6eef-4a32-8bcb-234d7a750de9,transmision,embrague,Patinamiento en embrague,True,2026-05-31 04:23:17.257255+00:00,28,acoplamiento,True,True,True
bc18e407-858e-4139-9ea4-06341661c2fc,transmision,embrague,Desgaste en embrague,True,2026-05-31 04:23:17.257255+00:00,1,acoplamiento,True,True,True
ad7d1c78-ae5e-45ba-9ae0-22d457ec176e,transmision,embrague,Ruido en embrague,True,2026-05-31 04:23:17.257255+00:00,12,acoplamiento,True,True,True
b8cef677-f07a-49b0-b72b-b5d62602550f,transmision,convertidor_par,Patinamiento en convertidor par,True,2026-05-31 04:23:17.257255+00:00,28,acoplamiento,True,True,True
3fe4ad6a-cb00-4413-93dd-ad70ffbd134e,transmision,convertidor_par,Sobrecalentamiento en convertidor par,True,2026-05-31 04:23:17.257255+00:00,9,acoplamiento,True,True,True
8de0dee7-a30e-4a11-b2ef-23a61418acb9,transmision,convertidor_par,Vibracion en convertidor par,True,2026-05-31 04:23:17.257255+00:00,13,acoplamiento,True,True,True
f746350e-6b05-4d77-aaa1-1b9a73ceab06,transmision,diferencial,Ruido en diferencial,True,2026-05-31 04:23:17.257255+00:00,12,diferencial,True,True,True
d0421069-7814-4fa7-b8d8-6a26a3f64525,transmision,diferencial,Fuga en diferencial,True,2026-05-31 04:23:17.257255+00:00,2,diferencial,True,True,True
fd618e81-3f8e-4e60-8353-c4746d36ca05,transmision,diferencial,Desgaste en diferencial,True,2026-05-31 04:23:17.257255+00:00,1,diferencial,True,True,True
2e7ca01e-3f7f-43de-a8ad-febb9d7deaa4,transmision,cardan,Vibracion en cardan,True,2026-05-31 04:23:17.257255+00:00,13,transmision_final,True,True,True
b6fc9580-6fdf-4b38-919b-299b8112362a,transmision,cardan,Ruido en cardan,True,2026-05-31 04:23:17.257255+00:00,12,transmision_final,True,True,True
cee56b01-33bd-42d8-92c5-d84c186a1beb,transmision,cardan,Holgura en cardan,True,2026-05-31 04:23:17.257255+00:00,6,transmision_final,True,True,True
037cde8f-134e-45de-984e-2e2db591a992,transmision,cardan,Golpe en cardan,True,2026-05-31 04:23:17.257255+00:00,42,transmision_final,True,True,True
c61a620b-f547-442b-8398-8f1587873670,frenos_servicio,pastillas,Desgaste en pastillas,True,2026-05-31 04:23:17.257255+00:00,1,friccion,True,True,True
87441fda-1ed5-4fc4-bde6-684703fe0366,frenos_servicio,pastillas,Ruido en pastillas,True,2026-05-31 04:23:17.257255+00:00,12,friccion,True,True,True
ae22b239-28aa-4fe3-9580-2e10f945faab,frenos_servicio,pastillas,Sobrecalentamiento en pastillas,True,2026-05-31 04:23:17.257255+00:00,9,friccion,True,True,True
54a23560-950b-48a9-9463-e9a1a3b5e805,frenos_servicio,discos,Desgaste en discos,True,2026-05-31 04:23:17.257255+00:00,1,friccion,True,True,True
d05ad85e-540b-4268-91f4-db61d043a837,frenos_servicio,discos,Vibracion en discos,True,2026-05-31 04:23:17.257255+00:00,13,friccion,True,True,True
034ed55e-8144-47ed-8e29-a1c4cf5b59af,frenos_servicio,discos,Rotura en discos,True,2026-05-31 04:23:17.257255+00:00,4,friccion,True,True,True
e8d1bcfb-c309-412b-aaee-91580d9127ee,frenos_servicio,tambores,Desgaste en tambores,True,2026-05-31 04:23:17.257255+00:00,1,friccion,True,True,True
d4491931-0042-4832-aca2-7a5ff6bf8399,frenos_servicio,tambores,Vibracion en tambores,True,2026-05-31 04:23:17.257255+00:00,13,friccion,True,True,True
3cf96a3b-9795-4620-ab87-cfb3e660e3b1,frenos_servicio,balatas,Desgaste en balatas,True,2026-05-31 04:23:17.257255+00:00,1,friccion,True,True,True
eafdddd2-5de0-42f7-8929-34ac27c53ba2,frenos_servicio,balatas,Ruido en balatas,True,2026-05-31 04:23:17.257255+00:00,12,friccion,True,True,True
742f0e68-a98c-483f-ad11-600f9f8ff0bc,frenos_servicio,caliper,No funciona en caliper,True,2026-05-31 04:23:17.257255+00:00,14,actuacion,True,True,True
d122c122-fa9d-4704-a2a3-4b0ea1d7f3d5,frenos_servicio,caliper,Fuga en caliper,True,2026-05-31 04:23:17.257255+00:00,2,actuacion,True,True,True
de3b9e7a-ba12-4023-b0d7-0543d1a1857c,frenos_servicio,caliper,Bloqueo en caliper,True,2026-05-31 04:23:17.257255+00:00,44,actuacion,True,True,True
ac5889a2-7b4f-4893-a5da-f9c2d74e69ef,frenos_servicio,cilindro_freno,Fuga en cilindro freno,True,2026-05-31 04:23:17.257255+00:00,2,hidraulico,True,True,True
